Case #1: Impossible
6 31 135432
30 38 418873
28 14 310828
5 13 268122
1 21 217172
8 35 300956
42 41 206676
34 14 347157
21 29 259900
28 13 289021
24 9 355695
32 35 273760
30 13 249824
8 32 500306
25 1 202190
8 41 347884
39 31 125475
18 33 214089
3 19 221488
2 11 295164
30 25 121879
34 28 92350
14 20 246612
20 26 258890
19 25 255099
34 36 222449
39 3 102592
28 17 187042
39 13 234960
6 26 247977
31 10 305645
Case #7: Impossible
Case #8: 421
3 37 160164
19 8 58615
11 9 108494
37 25 131804
7 13 129918
20 23 245265
21 29 88893
5 25 16002
19 6 148248
29 17 117872
36 11 304558
16 6 152536
17 33 136076
4 1 144561
15 28 1294
1 16 218617
5 11 146530
3 4 166956
24 16 146735
24 14 262259
25 17 112008
7 22 211542
12 27 218920
31 29 309431
5 8 92588
9 21 215062
17 16 115540
12 21 188027
8 10 192085
27 3 152945
36 4 238765
10 18 243814
6 10 176444
36 37 231973
32 1 113721
5 7 210507
23 32 151073
10 7 176425
12 15 179557
29 2 130060
5 10 132960
27 5 171688
16 11 162737
9 13 153713
31 13 257073
21 1 137277
33 6 111907
3 5 173865
18 17 104366
27 33 71938
19 5 151203
23 29 48485
6 20 209066
16 8 168177
33 16 145768
23 24 229906
6 18 141362
23 12 253134
3 22 64787
7 17 83394
9 8 113934
7 12 260522
19 33 177713
24 6 250124
26 11 183114
22 27 88158
33 29 105654
7 16 198934
13 21 123665
20 37 196612
25 23 158538
13 23 183140
35 21 130819
20 31 206165
28 30 151590
32 19 170787
31 4 216601
32 29 102588
28 11 132534
26 9 136593
36 25 260436
27 21 88699
4 37 6792
30 22 209526
9 20 233367
37 19 202861
3 1 174033
16 25 227548
32 15 140149
12 20 48288
13 3 165840
12 6 169608
6 3 156312
19 29 211055
37 8 146425
16 31 347891
1 13 100710
21 24 261810
17 14 104381
31 10 367041
19 14 215126
28 24 252046
37 23 148107
23 2 178545
9 10 226137
20 13 213611
17 9 107189
5 23 174540
31 5 321821
13 17 46524
9 14 134165
11 30 151760
19 18 110344
29 3 92999
29 6 125127
17 10 139448
8 12 124491
10 22 85822
6 8 89633
5 22 187929
10 32 160198
37 7 140591
12 31 211223
7 4 133799
17 23 166357
22 8 186548
17 12 177128
19 21 180480
17 20 172070
22 1 188097
3 26 155423
22 19 239267
9 19 172549
13 18 150890
4 33 66432
18 36 343160
19 28 170716
28 33 6997
35 1 90107
2 20 151717
11 29 165069
27 20 208910
34 8 116601
28 23 115290
23 7 134845
18 23 270723
7 34 147358
19 16 210966
8 28 112101
13 2 171229
3 8 232619
6 4 63584
37 12 226400
36 35 280307
25 12 94596
33 18 170827
34 9 171153
22 11 181108
13 27 178842
6 7 120390
16 34 179504
21 10 146503
6 13 9528
30 31 184550
2 30 130102
26 1 202983
20 7 247729
15 2 193132
12 9 203775
28 21 9764
14 26 230735
30 35 127509
25 9 109179
18 12 176220
26 10 176458
10 36 217951
3 21 181892
24 37 248586
14 16 219921
2 37 197225
34 15 111057
36 22 188553
5 1 32172
23 26 167333
13 29 134655
32 27 162534
15 5 94047
5 28 95341
18 16 219906
32 30 209990
31 8 282368
12 34 223023
28 3 191656
30 20 21615
23 1 174708
16 4 183488
36 28 179330
26 2 11212
24 29 181421
3 17 179982
5 34 191974
37 35 116734
3 2 166635
20 29 228632
4 25 128391
34 6 100960
24 15 250752
25 33 115752
14 1 158567
5 6 91014
24 22 153209
37 29 99622
1 25 16170
21 30 161354
3 19 291234
16 35 138486
26 32 165012
30 18 149547
29 1 190738
20 18 171162
14 5 158399
11 31 315440
33 21 16761
11 21 122770
18 3 284348
10 33 163264
18 21 173594
21 25 121107
34 23 102393
24 26 116286
37 21 76401
23 4 154899
3 9 221998
20 36 246095
15 17 130373
6 28 118904
34 11 111161
21 31 286210
35 13 69470
7 33 110757
14 22 140099
8 2 177342
22 34 82120
2 33 187429
30 27 230525
33 34 105354
27 28 78935
7 28 117754
34 32 123499
17 5 128010
5 33 99750
18 31 334097
2 1 214195
15 9 219228
17 11 47197
19 4 209653
31 7 350400
24 25 262926
11 1 114358
26 5 202815
37 15 65343
8 26 188554
13 10 185972
36 8 291431
32 14 89924
29 27 59946
12 30 26673
18 25 128315
10 2 179724
28 17 131667
16 2 41661
19 1 119031
29 16 133776
6 15 117610
22 33 133866
7 11 130591
35 17 22946
37 32 79331
35 4 123090
5 12 110598
28 14 170330
30 3 274313
33 3 198653
18 27 242765
10 11 186645
20 19 60818
11 19 112557
15 10 157561
30 8 97818
30 15 152884
31 26 303440
16 22 143509
30 29 226995
28 35 140583
25 20 142884
5 30 137271
9 16 189466
11 4 98839
24 4 255378
2 17 124705
30 36 267710
24 9 252879
13 28 113901
33 37 59640
35 32 82481
11 32 106732
22 32 74376
18 22 238277
24 31 419726
36 6 233941
6 21 128668
9 31 369518
35 26 158863
7 27 182695
34 24 235329
25 26 186813
2 14 229086
30 13 191996
15 29 99951
14 8 157018
2 7 208099
9 7 190583
28 29 98657
23 21 105526
29 12 211065
10 25 116958
22 37 95377
14 31 313502
26 29 118848
4 27 138370
27 19 249651
11 37 105631
4 5 144393
35 33 147580
15 22 128163
25 32 97551
6 31 266601
2 34 183968
5 2 214027
21 15 11058
22 23 76697
11 23 213554
28 1 127513
26 21 207741
8 32 112172
16 30 171763
32 2 176224
27 17 177818
34 26 172756
14 6 67385
12 26 92217
10 27 117556
36 2 215886
12 36 294383
17 19 111252
19 12 65876
24 35 240632
13 32 32067
23 33 122287
4 2 204017
17 1 103077
15 1 126219
20 4 203404
32 17 59535
13 5 100542
14 35 127327
28 20 129975
35 19 88306
3 15 192950
29 25 174568
4 9 152917
14 18 208747
6 27 183845
32 7 142929
21 16 162529
9 23 233908
37 34 45714
27 34 113854
29 5 190570
8 4 152781
23 35 189303
25 27 187690
2 31 314652
15 31 275152
21 32 151207
33 15 5703
32 33 134446
35 20 149124
16 10 191386
14 23 160372
14 4 110485
9 2 147805
37 14 103693
6 37 56792
27 14 171833
7 30 233849
30 6 187451
31 35 312059
16 37 190280
31 27 274061
22 26 90636
11 35 24251
37 30 218227
17 36 259819
2 18 229071
28 12 178263
28 25 111343
21 22 117105
25 34 175972
32 24 227585
24 13 259652
33 12 185260
13 12 179136
11 18 105671
24 18 316347
37 13 47264
7 3 263376
4 26 192805
36 26 227098
12 24 208503
35 6 59942
Case #9: 473
29 7 134203
41 43 187198
30 21 149061
15 36 122612
30 14 112384
20 31 132597
6 26 170100
9 29 76512
39 30 95796
23 13 98595
5 27 114291
11 20 77949
41 29 63297
40 24 158819
34 42 92712
40 33 72303
22 4 106266
40 22 147339
42 37 153117
39 29 104815
43 21 116892
24 41 182976
16 3 187103
14 4 46620
40 21 74383
15 35 107907
32 19 100628
6 31 154491
12 21 110912
41 25 187136
10 29 97497
41 37 137649
14 27 80197
25 42 166381
7 19 129997
42 14 79033
5 25 189781
1 21 15008
16 25 160737
11 19 101268
29 33 34865
20 40 80467
6 10 93484
30 29 112116
21 25 157235
35 26 62298
32 7 132004
18 22 31814
8 19 51493
32 37 73855
17 25 77254
29 6 125218
36 35 93818
11 33 90602
25 30 224310
6 19 143652
42 17 136066
31 33 124433
35 14 17684
41 6 177799
18 29 95948
2 33 85486
27 28 30176
14 6 125486
8 7 78504
20 38 112399
1 16 163393
28 3 187851
25 9 58043
21 17 94246
20 26 83513
14 38 74036
15 28 89121
3 22 153060
15 7 160573
16 9 160299
33 32 37064
15 43 197457
29 40 37438
30 2 162737
17 6 67917
2 17 107922
8 21 154359
12 25 179429
2 1 102574
36 31 115388
43 39 73734
4 13 76248
18 28 2977
16 12 146868
17 29 57301
16 30 183442
20 3 167590
25 18 103168
20 33 77894
12 4 120319
9 22 134544
34 15 62599
8 27 37964
17 14 57569
41 26 106477
8 18 65163
13 15 35211
10 39 118983
28 16 60546
31 22 75763
13 34 97810
11 22 49257
36 10 141332
13 41 150325
29 27 79929
32 6 127417
6 1 132890
43 5 181262
4 31 135920
7 21 120143
3 31 163547
3 34 207784
5 35 109601
2 34 41675
39 23 103964
14 18 96216
8 16 122732
42 32 79262
32 11 118779
34 22 61313
30 11 228696
9 30 166267
8 34 94662
20 7 152889
28 20 63483
11 21 157923
33 37 110919
4 37 118008
23 31 90419
30 19 136999
4 41 74077
20 21 79974
10 42 57175
1 11 170536
31 41 152865
42 15 147285
36 16 138944
37 1 46986
9 19 147541
17 33 22436
14 20 43297
11 29 120978
4 18 74452
23 25 135406
5 39 166304
38 10 112529
6 20 126974
16 42 120782
3 27 196614
23 11 120127
43 9 186068
22 23 110752
26 36 53709
32 22 112100
16 24 161734
37 23 75203
2 31 105357
7 30 125184
19 43 150486
10 7 145217
11 18 29519
42 22 82951
22 29 109901
8 4 139615
30 13 187499
9 1 84184
42 35 96181
35 34 74880
1 26 78158
22 8 96977
32 24 119182
35 1 69369
17 5 136448
10 2 77212
11 7 168698
16 37 116407
28 13 97616
17 18 83519
35 9 93928
32 12 76166
3 6 179912
10 26 137981
1 14 52221
35 18 104379
6 16 157091
12 40 111405
36 13 129865
22 25 134982
14 15 90759
33 24 156246
22 17 115333
34 18 29499
33 3 134431
9 14 76780
32 27 77730
30 12 144514
26 24 76499
9 21 99192
36 29 76402
36 1 24449
24 13 197729
20 17 59057
37 11 142276
12 22 91364
40 43 163041
40 35 54854
43 32 123404
18 31 73698
2 37 126675
37 31 92851
43 3 173191
20 8 74385
34 7 168678
8 11 94682
39 41 166410
42 2 129386
35 3 141977
32 41 63794
29 15 90491
11 24 160291
12 42 152512
32 34 94495
35 32 19615
35 20 60445
31 43 84628
21 13 120424
40 19 137569
41 33 87446
6 28 102499
26 25 159263
37 20 108355
32 8 115215
3 32 126760
5 14 92453
36 38 82595
26 13 142626
42 29 78765
5 15 169638
34 37 154332
32 5 92682
33 7 169068
5 19 190614
2 6 139001
39 33 139680
14 28 99193
18 33 61083
24 37 45327
38 29 73768
1 28 150878
5 37 166537
9 27 115168
23 32 1348
12 1 125920
3 36 48159
8 42 128376
43 27 132558
25 15 44064
18 38 106491
27 33 88282
4 23 45501
24 21 107321
31 42 136911
41 20 104624
25 19 89498
3 19 171633
39 42 176158
15 38 152557
9 6 48706
30 32 109917
32 31 91767
16 5 195466
29 23 851
39 17 157385
42 28 66190
6 34 97326
3 38 130754
39 21 90755
12 14 74235
25 43 160855
17 13 40443
34 31 103197
34 41 155593
9 41 129093
4 7 176157
19 42 134962
13 19 166388
5 26 135365
38 30 96120
23 24 120530
10 8 71201
16 34 87068
10 28 9015
24 15 190476
7 26 89321
26 37 31172
30 26 67234
32 14 2467
16 33 118652
10 43 111397
32 21 39144
20 34 90005
38 19 98651
38 23 72917
29 2 50621
18 10 6038
25 33 99690
6 40 162656
5 10 131859
4 38 115722
2 41 113918
38 33 108633
10 14 97765
25 2 148338
12 23 74818
27 30 187647
19 22 103563
27 6 126721
2 26 95503
7 37 58149
25 11 132687
3 1 72608
22 24 138346
20 36 119431
10 13 88601
29 20 43029
2 39 155436
9 8 96048
16 39 87646
13 39 181163
2 20 93650
28 38 109468
14 25 134823
36 8 159190
29 5 92185
32 17 59500
43 34 134858
30 35 129532
34 1 142346
13 5 159063
13 42 145776
34 12 118798
30 22 191425
22 14 110169
25 31 163828
19 35 117547
39 40 142253
16 2 128743
32 20 40830
37 14 76322
26 29 44882
6 11 116965
12 15 135365
38 11 136010
42 4 123415
2 19 136969
42 40 116203
39 34 142444
9 31 105785
38 27 133690
13 9 21232
15 21 113171
42 41 140360
41 1 115250
33 28 64060
27 10 33237
23 17 58152
40 7 171641
17 12 131268
11 2 100693
16 20 118075
7 3 128845
21 4 83297
12 5 166152
41 30 173711
11 27 56718
16 11 87088
15 6 34727
2 3 175182
43 20 164234
43 35 143019
15 8 82069
17 28 86496
38 8 150144
17 7 186773
25 32 136754
25 29 134555
39 15 173910
8 23 116563
29 3 124561
3 41 187858
23 27 79078
3 9 131206
2 13 139485
21 29 36945
41 21 100242
41 27 141524
39 6 192427
16 14 153785
25 24 179542
35 39 122231
28 30 205588
31 26 61679
41 16 206098
39 3 99457
14 19 100399
15 27 119297
37 30 98406
27 20 36900
14 39 105083
21 31 126513
31 24 138178
29 13 97744
8 6 92159
38 42 150831
11 43 134878
24 28 133749
10 3 178836
19 28 68772
36 41 139699
2 12 89756
23 43 124752
36 30 120943
41 12 137264
20 13 81672
25 36 166676
14 43 125871
40 31 127006
7 18 139179
13 12 142618
6 35 142634
24 10 136810
27 37 145255
35 4 63768
12 39 110470
40 17 94739
6 37 163666
42 9 155277
43 33 160468
2 15 104274
5 22 157635
7 43 44346
18 16 57569
19 12 147045
31 15 119764
19 31 131444
23 14 1119
27 31 100897
11 17 105563
26 12 77280
40 26 82320
25 34 106663
21 19 137076
28 26 138354
24 43 147822
7 36 80686
14 24 121649
24 1 92313
36 12 130989
36 6 157339
4 1 98305
8 33 126246
3 23 125412
33 23 35716
8 13 117280
4 30 154070
10 37 118795
40 36 113840
Case #10: Impossible
Case #11: Impossible
Case #12: 285
3 9 203909
1 13 142020
15 18 122943
15 22 57229
21 17 106167
3 25 191810
11 3 130247
14 25 246587
19 16 370798
3 13 44792
1 9 301137
21 9 179104
5 8 215605
6 3 21172
5 17 154911
12 24 10338
8 22 167105
14 16 326852
20 25 185805
8 23 154081
16 3 184620
12 19 266204
20 14 148237
23 6 78950
1 8 128506
11 22 73861
8 16 215898
3 15 27501
24 21 99124
23 22 13024
1 4 119506
12 13 63020
3 20 6005
2 9 234137
20 22 76807
6 21 91730
11 21 59689
4 20 81298
15 7 95272
2 1 127456
2 8 126531
10 4 89179
8 4 9000
4 15 114804
24 16 176730
22 7 71550
17 25 227419
1 7 164999
15 5 146803
19 1 345204
9 18 294188
18 10 97265
11 7 117067
25 10 193686
9 10 202033
14 21 72266
14 7 129644
12 7 85999
3 18 95442
23 9 206300
9 12 222137
1 21 167786
8 3 96303
5 12 137530
14 8 238535
10 5 121178
9 7 236482
22 25 160149
19 18 343418
21 12 88786
24 5 147868
4 13 132095
12 20 12223
25 21 174321
23 20 63783
20 21 76563
17 13 60852
7 4 155074
13 10 46668
4 9 291212
22 16 255422
13 18 140234
10 19 249852
16 20 178615
14 11 12577
1 25 277028
7 3 67771
14 6 133070
7 18 163213
2 5 149530
1 14 239460
25 4 267103
22 2 109093
23 12 76006
7 19 315747
4 17 122912
24 1 89338
25 8 276103
21 22 14172
5 6 140474
5 16 287090
8 18 175058
17 8 131912
14 23 99462
25 7 142696
6 10 23048
21 18 166000
19 6 269148
25 5 300040
21 23 27196
13 7 36125
17 16 220229
6 17 56781
5 9 323211
15 11 102746
11 13 119998
21 7 57378
19 23 300545
20 24 22561
6 11 120493
15 16 212121
23 16 242398
12 6 27390
24 10 30389
9 15 222161
19 24 276542
12 10 20104
20 9 209914
25 2 180239
11 16 314275
3 21 70558
5 18 126835
5 7 187073
19 20 253981
6 4 96465
22 24 99368
11 17 165856
18 16 243606
7 6 72123
14 5 262126
13 20 50797
13 23 87505
4 19 335279
3 23 69788
23 15 70253
16 12 166392
21 19 273349
22 5 202114
24 2 58794
11 5 249549
24 9 232422
7 17 96977
10 16 186496
11 18 225097
18 2 125670
19 8 344279
22 18 166244
1 11 226883
18 20 89437
19 15 275477
5 13 164094
16 7 252391
6 24 37728
23 7 84574
24 11 158221
15 25 217378
8 15 123804
23 24 86344
2 12 48456
16 4 206898
15 17 63110
5 3 119302
12 25 198028
6 9 225081
16 21 255178
12 14 160460
19 13 292768
15 1 124729
24 14 160868
11 23 86885
5 21 189860
13 14 132575
10 21 72434
24 8 112859
4 22 158105
8 11 225958
24 18 66876
15 12 45729
13 16 229412
4 11 216958
18 1 156214
5 4 206605
19 3 247976
2 17 65837
14 17 178433
10 8 98179
17 12 53837
22 12 89030
2 14 167187
13 2 73668
12 4 93521
10 3 1876
2 4 117531
25 13 178821
6 18 104604
2 19 278204
6 20 15167
6 25 170638
15 13 72293
17 1 132837
14 19 345615
17 23 105397
13 22 74481
22 6 91974
16 6 193782
4 18 166058
2 11 154610
15 14 115323
16 1 87392
11 12 147883
2 23 100016
19 22 287521
16 25 364420
20 10 7881
24 17 64122
4 14 229535
18 14 227744
24 3 28566
2 16 214848
18 23 153220
2 15 57729
24 4 103859
9 11 119415
5 1 199698
6 8 105465
14 10 144700
14 9 110933
20 2 36233
3 14 142824
24 15 56067
1 10 99104
21 4 157861
22 10 84688
2 21 94921
9 19 335905
23 10 71664
3 17 35609
10 7 69647
12 18 77214
23 5 189090
2 7 37543
8 7 164074
25 18 173205
17 10 33733
24 7 96337
20 1 91223
22 17 118421
25 11 234010
12 8 102521
22 1 168030
3 12 18228
15 6 48673
19 11 333038
15 21 43057
19 17 283585
10 11 132123
2 10 32104
22 9 193276
3 22 82812
18 17 130998
3 1 97228
3 2 30228
8 9 300212
16 9 357690
24 13 73358
25 19 344499
1 12 79000
8 21 166861
23 25 147125
24 25 208366
19 5 367278
2 6 34580
4 3 87303
13 21 60309
23 4 145081
Case #13: 177
5 11 308361
10 22 326194
28 18 104097
4 18 218574
12 13 214760
16 9 344307
18 27 172005
8 19 154432
30 7 259731
6 12 409277
26 3 151990
33 17 231522
13 29 175419
31 15 136824
32 26 236812
24 31 227681
21 6 397250
27 16 211939
23 8 141336
29 25 143081
32 19 211618
3 15 199230
28 32 235650
24 26 248537
16 17 321744
30 20 208680
21 7 94089
31 25 77892
27 15 158472
20 13 259818
13 6 383458
19 21 74152
23 9 245283
17 31 190131
32 16 359549
1 33 123447
18 6 301970
20 31 201645
8 32 183207
21 25 131034
16 30 242445
9 22 190893
14 22 244343
9 31 110720
31 16 233587
10 26 327011
20 19 199458
32 5 192023
12 25 225718
8 4 149288
24 16 5906
28 1 61204
23 33 90812
6 11 327260
11 31 335860
17 29 298616
1 6 223923
21 4 179753
26 27 161692
13 14 80383
17 4 223431
6 31 359551
30 33 218329
28 19 125225
18 8 133304
5 4 158104
24 2 319568
6 29 260855
26 25 191883
1 12 185354
8 15 167752
32 31 229189
24 29 292870
19 24 208202
2 7 245322
3 8 236968
7 11 376807
29 18 139996
3 29 252852
2 21 185518
16 14 326306
18 5 60470
13 22 182783
22 26 202239
28 3 233923
15 17 244994
8 1 55257
6 3 371735
20 23 186362
32 22 151198
14 17 86044
9 10 331686
9 28 133234
25 30 184188
18 25 200481
2 17 338153
21 27 74790
11 28 351988
16 28 279847
13 10 295684
29 1 97103
20 8 109044
22 24 202445
8 6 279180
25 22 159206
10 2 371865
29 26 248529
15 30 157131
27 25 56244
5 12 167777
17 23 231383
31 18 193653
25 23 56671
13 25 118773
5 22 40825
9 20 144122
7 9 151667
3 32 84822
11 29 387887
2 23 226450
17 7 231078
33 28 149497
22 21 177752
9 5 150068
4 15 221245
12 4 214898
11 14 231773
11 32 276315
31 29 108485
4 22 117279
26 13 73110
15 29 209598
15 10 274199
12 7 188773
29 23 199752
32 21 191693
9 29 133659
2 4 218498
32 9 271148
5 25 140011
28 13 156490
1 7 145509
30 9 299391
5 33 105870
11 16 189484
13 4 167492
14 7 160680
30 10 176498
15 20 212778
13 31 66934
30 3 244446
16 23 99024
9 14 230453
24 12 315968
26 28 229600
7 23 132214
16 2 325474
15 28 173699
19 31 127294
8 26 232645
12 21 200968
33 12 259859
21 29 161627
25 33 34141
29 4 191800
26 1 178991
1 16 231599
6 24 131870
22 28 84452
10 27 227543
15 26 66496
24 7 225332
19 13 60360
5 17 260742
27 5 111535
20 2 310824
1 25 157588
Case #14: Impossible
Case #15: 418
10 6 196062
15 31 160552
26 20 162888
10 21 78670
11 19 162943
22 11 94679
10 20 91803
8 24 26967
17 9 205267
27 6 125302
6 29 198541
9 25 215361
1 22 156069
7 26 132915
10 5 108906
28 16 135676
5 25 54292
6 19 143366
16 5 123601
23 9 216848
10 17 44520
15 10 47276
29 14 105322
18 5 152485
10 12 82969
11 8 46243
17 21 34150
8 3 144892
2 18 160978
17 7 152917
14 13 203327
7 18 113622
18 20 152790
13 15 159061
26 29 73564
29 23 64212
12 14 172041
2 20 68454
28 11 78660
24 15 43775
26 11 117215
17 32 186949
32 6 58694
32 4 171906
6 30 149614
15 27 28996
32 8 196184
19 30 156453
17 16 59215
2 32 242420
27 30 24312
11 3 166225
18 12 110728
4 11 162575
23 17 17213
8 29 85427
24 11 73210
4 17 130384
8 30 36500
23 6 134329
23 3 166107
1 29 109999
1 17 154046
12 21 4299
30 20 94537
8 21 20098
32 9 149376
8 2 71745
3 21 155448
32 13 289668
17 8 38428
8 4 116332
15 26 118361
23 30 33339
21 4 96234
32 25 197043
9 29 168357
19 3 76848
10 2 99991
27 5 38146
5 8 50334
5 1 106139
5 30 62458
19 14 89142
17 18 105507
14 9 63035
10 26 71085
26 17 115605
2 6 184859
7 12 191108
4 26 175314
28 31 157359
19 7 141451
25 21 24056
18 24 113298
12 26 154054
19 22 160404
11 7 230828
4 22 169915
8 31 143744
22 3 163686
20 22 78268
25 20 57377
6 13 299477
29 21 81149
3 4 107002
26 1 140825
23 18 122720
6 15 154298
24 12 2570
18 6 206348
29 20 94282
25 13 166399
15 1 156802
7 6 92726
19 31 86259
13 27 182545
9 6 208070
16 27 85455
5 28 88367
4 13 186265
13 21 190455
9 1 123254
25 1 143952
29 7 182219
28 7 197761
4 9 157743
31 21 123646
1 27 127806
4 12 100533
25 27 16146
32 10 218730
22 16 58286
7 8 191087
4 29 136570
2 27 59557
22 27 65771
6 16 210757
15 22 42287
32 1 171148
21 19 124231
18 22 145038
12 5 50355
5 9 229393
8 19 144329
23 16 76428
20 32 234232
22 5 103917
21 7 186809
10 7 184698
24 19 122502
12 28 38012
23 10 61733
18 28 148740
5 15 67142
6 1 147701
31 20 181405
22 6 191073
29 3 117616
23 12 21236
32 26 166947
11 18 172770
27 9 207821
2 19 138167
32 14 110929
20 27 73523
30 11 82743
11 23 67458
14 28 210053
13 16 97090
17 3 154526
23 27 9027
23 32 193023
19 27 132141
9 31 205178
9 24 213058
11 2 117988
14 1 84807
12 19 119932
2 12 71766
25 2 57649
8 25 28334
2 31 112951
6 26 225641
15 17 2756
13 28 232766
16 25 69309
8 16 97643
3 31 154437
30 29 97551
26 28 192066
30 4 128456
23 4 113171
24 5 52925
12 11 70640
1 2 142502
24 10 85539
23 31 140583
24 1 118167
1 31 81924
20 17 47283
5 6 163448
20 4 137988
14 11 153931
20 9 171575
29 16 12216
16 1 97783
1 13 151776
18 21 106429
13 11 157915
24 7 193678
13 18 240052
9 8 195633
1 18 121532
13 24 197324
32 3 98635
6 25 141448
3 9 50741
12 25 28355
2 15 58227
2 30 83869
20 21 81433
12 17 38449
1 7 137116
12 15 41205
24 22 80550
30 3 181392
13 29 109306
30 31 155868
13 3 191033
17 28 76461
14 21 167742
20 23 64496
14 24 174611
13 5 220691
3 6 157329
19 9 127589
26 18 117331
1 11 158608
25 18 115601
14 17 152321
7 25 163011
9 16 177137
32 5 222142
23 8 21215
21 16 93365
11 20 131954
30 10 95072
29 18 152506
31 27 131556
23 2 50530
19 15 161137
15 7 155673
7 31 219040
20 12 85732
8 12 24397
28 22 115992
22 7 178407
7 16 190999
26 19 145160
11 9 216966
7 32 34032
17 2 55471
17 30 50552
12 29 85448
8 13 194733
2 13 211776
15 30 53308
14 2 206427
10 27 70760
16 10 14695
32 30 188619
2 29 102470
19 28 157944
8 27 12188
21 23 16937
29 22 46070
26 13 160144
20 15 50039
17 19 158381
15 28 79217
31 16 179707
26 14 80606
4 16 124354
32 18 147654
7 14 76897
29 15 49755
30 16 109767
22 30 90083
31 25 147702
28 32 163729
19 16 102118
24 30 39091
30 25 40458
23 1 136833
30 12 36521
3 20 142171
14 6 169623
10 18 150027
5 14 190946
24 32 182955
24 6 124261
13 30 206857
24 25 30925
25 26 125699
28 21 42311
18 31 203456
25 14 162415
8 26 154033
9 22 214427
30 28 74533
12 27 12209
26 24 156624
11 31 189987
17 29 46999
10 3 120095
16 3 126396
26 23 132818
28 23 59248
11 25 74577
14 27 169374
