150
35 887
47 0 374
23 0 249
8 0 368
17 121 562
14 0 428
70 0 553
68 88 562
21 77 562
6 0 553
64 265 383
29 78 217
27 0 419
58 134 562
9 0 391
61 51 562
39 0 128
42 0 495
24 0 397
3 13 550
28 0 499
10 296 562
40 0 499
16 110 245
20 46 562
34 0 530
15 0 266
15 289 562
74 32 430
73 324 562
22 271 562
60 373 562
66 38 455
1 0 476
18 205 562
41 69 562
49 128 562
33 0 519
25 633
27 0 595
18 0 425
41 309 633
58 412 633
60 31 500
9 145 291
22 272 633
24 159 633
46 109 633
7 0 366
3 0 357
16 150 633
1 0 434
53 343 633
30 270 633
20 0 519
62 119 633
17 82 633
49 0 486
57 0 423
8 268 633
4 478 633
5 239 633
28 0 497
66 0 585
35 274
33 80 274
37 0 165
31 139 274
49 59 274
46 165 274
6 67 206
19 0 232
0 0 265
17 0 210
23 0 211
13 16 87
45 0 268
43 113 274
30 121 274
42 89 274
13 98 274
36 141 274
20 0 219
34 0 262
7 0 233
27 4 274
51 145 274
10 70 212
39 0 202
25 13 274
9 100 274
47 101 274
35 0 209
50 0 193
3 19 274
40 99 274
43 0 98
32 0 256
38 88 274
41 0 205
11 315
42 121 267
29 0 232
31 96 165
40 131 293
19 0 276
39 96 315
0 0 315
47 32 250
45 209 315
36 0 249
18 0 167
45 268
19 0 217
24 0 181
26 11 112
56 72 268
12 29 268
10 0 117
5 79 171
33 0 104
27 0 252
58 0 107
20 0 120
66 116 261
22 17 268
65 0 249
66 0 67
1 0 200
14 0 231
70 44 112
62 75 268
45 83 189
50 40 268
39 0 268
58 149 268
4 0 191
2 66 241
63 30 243
72 0 265
13 0 254
52 0 195
30 38 112
36 146 234
46 58 268
75 0 205
9 39 268
68 191 268
17 139 246
43 0 115
7 0 236
18 0 131
74 132 268
44 0 215
49 0 257
31 0 211
35 0 155
73 98 181
4 890
52 412 890
24 191 890
99 0 734
97 0 837
39 644
7 340 615
31 0 581
56 225 644
81 0 414
59 51 456
26 243 644
63 17 644
47 118 644
80 47 390
50 0 574
61 291 644
93 12 644
49 114 644
57 79 248
78 55 644
12 0 584
44 199 644
25 0 597
67 183 644
20 0 571
37 164 644
55 126 409
28 81 644
22 131 348
16 116 644
48 0 438
32 0 479
39 327 597
39 87 271
18 0 469
2 287 644
69 119 644
72 197 644
84 0 511
74 0 456
76 239 543
52 0 513
1 0 563
87 0 468
50 95662
100000 0 93203
15939 39408 95662
78233 21417 59680
22573 46808 95662
95680 3718 95662
78760 6616 95662
21630 0 77763
42744 1685 95662
10371 42696 95662
6369 1349 95662
89185 0 75805
91209 34392 95662
76695 3382 95662
54379 0 63756
42216 39621 82781
82123 0 43177
50210 0 95592
63650 36896 95662
40199 0 55491
5220 0 74153
75650 1166 95662
8907 0 64871
91418 0 64500
3037 0 78739
75613 19193 95662
75828 0 90529
530 0 77094
74088 38946 95662
29122 0 56589
90981 0 69076
89895 829 95662
6093 21209 95662
25741 0 36098
18447 0 61571
16632 0 46451
52633 21435 95662
67699 12822 95662
98371 0 58226
51423 57171 95662
95708 0 94894
37474 0 85265
60686 4109 82359
85003 26420 95662
78263 0 92050
42384 0 55804
1308 44365 95662
51979 9998 95662
90596 0 83376
81879 0 77547
84959 33586 82011
36 767
5 0 767
13 0 562
24 0 301
60 58 767
64 261 767
0 0 569
63 0 584
28 516 767
2 0 542
61 324 767
41 307 767
16 0 490
38 296 767
56 0 670
53 351 767
11 0 689
37 0 578
6 0 719
42 0 608
47 0 599
27 0 621
59 54 767
9 24 767
25 256 521
29 52 767
46 142 767
35 0 712
39 354 638
30 111 326
36 0 529
17 34 217
51 164 767
33 303 767
4 251 767
22 0 622
62 241 521
20 774
6 106 774
54 0 597
41 449 733
82 0 304
105 65 774
36 0 612
31 349 774
57 0 443
94 0 316
108 0 330
58 34 774
12 180 774
9 9 774
74 14 774
80 114 774
13 68 337
70 55 774
104 500 774
76 261 774
5 0 592
11 15
2 1 7
2 9 15
3 0 4
5 7 13
7 0 8
8 3 6
8 8 15
10 2 9
11 8 13
14 6 15
16 0 6
37 695
52 57 695
56 0 283
36 0 684
53 0 551
41 330 695
0 0 539
34 0 524
20 340 695
45 370 693
16 43 437
48 173 695
50 46 695
22 236 695
57 71 695
11 0 384
8 207 695
5 205 695
19 159 695
33 135 695
12 24 695
49 0 603
9 234 695
51 0 623
3 175 695
35 107 695
24 0 581
31 96 695
26 144 695
46 326 695
42 0 426
58 0 352
6 0 478
55 0 244
43 125 351
32 365 695
21 0 515
2 65 285
22 633
73 0 628
63 382 633
43 32 508
58 0 486
55 197 633
0 99 633
83 96 222
9 0 544
4 374 627
88 16 633
57 0 517
82 258 633
70 168 321
12 12 633
74 0 605
80 0 447
41 279 633
75 200 633
64 169 355
36 7 486
2 269 633
15 0 415
9 777
0 52 777
46 0 565
4 317 777
8 53 777
17 0 775
3 0 539
44 0 724
37 31 777
50 291 777
7 574
10 286 548
61 324 465
60 211 574
24 16 574
80 26 322
73 0 260
21 0 565
40 202
28 0 192
69 0 192
51 0 191
32 3 202
49 0 107
25 0 165
74 0 94
36 0 163
63 86 202
6 40 167
66 32 150
82 0 185
40 0 188
60 25 188
18 112 156
0 0 156
43 22 202
91 53 202
4 37 121
1 56 202
38 96 177
62 59 202
22 0 192
86 44 202
37 26 202
47 16 202
2 2 102
20 0 183
55 12 202
71 74 134
39 0 84
68 148 202
83 55 202
79 96 202
58 69 202
90 46 120
33 0 180
23 0 200
81 0 65
35 20 202
2 20
5 5 20
13 0 17
7 30
10 0 10
20 0 10
5 8 21
15 7 20
25 9 22
10 20 30
20 20 30
44 220
35 83 132
3 0 182
38 0 218
27 0 109
46 0 207
8 48 220
12 52 220
57 57 220
50 0 134
19 7 220
39 0 83
42 14 101
6 15 140
9 0 102
36 84 220
31 0 170
49 129 220
1 0 144
33 0 147
47 0 77
32 107 220
15 0 189
55 84 220
53 0 115
0 0 157
41 0 175
58 0 135
2 0 156
13 29 220
60 12 220
30 0 180
10 0 184
16 0 219
4 53 219
7 0 188
20 0 96
29 132 206
43 115 220
59 9 220
5 0 218
25 0 214
28 39 220
24 142 220
17 1 220
37 566
32 0 564
35 0 488
12 264 402
56 120 566
28 13 566
46 306 566
58 52 429
27 67 341
77 218 566
4 0 287
42 0 323
72 194 566
81 126 566
37 12 566
41 0 392
88 47 566
33 58 566
2 6 135
19 0 510
8 0 560
86 13 242
9 216 566
67 303 423
44 95 566
15 37 566
21 167 566
54 125 523
76 34 566
36 79 566
40 0 537
62 0 215
64 0 480
60 0 418
57 31 566
63 368 529
23 0 279
7 159 566
25 577
51 0 520
24 274 577
16 93 577
25 2 577
1 0 334
18 0 326
39 301 577
19 235 352
27 0 407
33 0 496
13 397 577
46 0 435
20 93 577
11 0 557
0 408 562
32 0 311
14 0 432
10 24 577
50 0 504
34 99 577
57 154 577
52 0 316
21 72 577
6 0 478
48 0 486
12 35
5 0 23
24 0 11
1 5 35
18 7 23
31 13 35
6 0 27
22 0 21
20 0 29
25 0 33
3 0 16
13 0 29
15 15 35
34 494
0 82 494
13 60 222
50 152 494
18 363 494
30 212 317
5 0 363
52 0 442
35 290 494
40 43 494
21 48 494
33 107 494
38 315 427
9 0 359
41 243 419
1 0 480
49 172 494
7 155 494
34 134 494
18 0 355
54 0 215
56 0 458
43 268 490
46 145 457
23 20 494
47 0 412
11 0 358
60 0 459
12 0 213
17 15 494
10 77 419
32 263 393
3 0 477
15 149 273
4 0 468
45 888
3 111 888
58 0 517
8 0 834
16 491 855
44 0 523
51 407 628
56 267 888
9 0 702
53 125 888
38 433 888
40 45 888
57 67 582
52 153 853
54 154 888
2 5 888
6 541 888
0 245 888
23 131 888
47 220 888
7 406 888
30 0 710
43 214 888
22 139 888
55 0 657
31 280 719
24 0 595
32 38 888
27 129 888
10 0 342
46 0 798
36 487 888
14 222 888
45 311 888
25 0 741
11 221 888
10 619 888
37 351 888
1 660 843
18 0 588
39 357 715
12 474 888
26 0 583
13 0 713
4 0 673
49 72 488
48 951
4 0 884
66 439 951
43 629 951
47 145 951
74 277 951
19 187 951
91 0 950
93 0 355
16 0 762
45 76 951
97 0 818
8 0 743
22 108 951
41 0 479
78 269 708
79 325 951
28 88 951
63 0 347
94 0 753
11 144 951
72 127 579
60 0 435
21 54 951
58 246 951
64 0 911
17 683 951
82 433 831
35 0 691
50 488 951
70 218 696
61 0 650
15 370 951
30 0 551
69 45 951
44 64 951
31 451 951
38 291 747
48 0 767
25 653 947
2 580 951
68 89 951
92 0 536
7 427 951
65 138 951
67 251 940
84 321 935
95 0 646
9 0 768
1 135
4 32 135
8 499
12 14 499
19 202 499
7 228 499
2 75 499
20 0 176
5 298 499
16 362 499
6 14 499
31 605
54 0 392
18 283 605
3 0 472
46 57 230
23 346 605
55 324 605
57 308 605
61 153 469
24 322 605
36 0 312
84 74 323
25 33 605
41 170 605
28 0 304
8 329 605
56 0 556
59 10 605
79 274 557
10 227 605
0 0 580
30 84 213
71 0 585
34 137 605
49 14 605
32 0 595
76 0 516
48 0 326
19 0 311
9 445 605
58 207 605
15 0 571
25 259
13 56 259
11 10 137
14 38 259
17 155 259
29 153 242
6 123 210
9 0 234
4 80 259
19 0 96
34 0 229
23 24 141
5 0 236
33 20 259
7 6 259
20 0 243
26 44 259
24 62 259
8 36 259
31 99 200
21 74 259
0 0 204
25 102 178
10 0 141
28 0 243
3 0 158
23 34
16 7 34
17 0 25
11 10 21
31 0 33
13 4 34
33 0 28
1 15 34
44 1 34
36 5 34
25 0 10
6 18 34
18 0 11
21 1 34
7 15 34
28 5 24
40 0 23
4 17 24
12 8 32
15 15 29
46 0 25
0 0 18
9 0 27
45 9 18
39 961
72 114 961
97 0 780
124 341 961
42 23 961
70 238 961
119 76 961
87 65 431
4 0 727
75 0 616
129 149 961
106 699 961
87 607 820
31 0 751
125 0 871
6 718 961
69 198 451
93 561 961
79 0 372
84 366 961
86 0 683
2 0 624
113 113 886
99 0 955
100 0 839
80 8 589
62 0 851
71 0 446
116 0 330
73 0 450
32 686 961
85 357 961
49 0 535
110 0 877
61 281 961
103 0 729
121 303 961
21 22 961
68 413 961
29 102 961
32 216
63 24 100
108 0 176
86 91 216
84 57 209
32 3 216
12 17 216
72 38 216
69 4 216
49 15 216
17 0 186
66 0 174
56 0 59
102 0 185
4 10 216
94 0 190
38 117 216
75 43 216
31 55 129
88 93 216
10 134 216
68 0 147
45 0 106
34 89 216
43 77 216
70 81 216
8 72 216
106 41 216
14 0 183
83 86 143
105 68 187
1 79 216
45 116 216
47 681
18 90 591
66 353 681
24 0 493
93 270 681
78 0 410
39 105 681
51 376 674
113 0 292
36 69 681
126 14 681
40 147 577
47 214 681
25 0 589
56 498 681
130 84 681
34 295 514
21 62 435
33 155 681
9 102 681
57 44 681
79 0 569
69 0 436
23 0 680
6 0 491
42 0 680
95 0 476
38 0 527
85 126 681
13 33 681
92 213 681
10 0 429
15 0 492
32 155 306
20 0 543
102 157 497
62 35 681
128 446 681
89 141 419
61 277 656
71 0 456
3 430 681
43 71 681
107 74 681
8 127 681
114 179 681
75 0 681
81 129 681
50 100000
0 1 100000
1 0 99999
2 1 100000
3 0 99999
4 1 100000
5 0 99999
6 1 100000
7 0 99999
8 1 100000
9 0 99999
10 1 100000
11 0 99999
12 1 100000
13 0 99999
14 1 100000
15 0 99999
16 1 100000
17 0 99999
18 1 100000
19 0 99999
20 1 100000
21 0 99999
22 1 100000
23 0 99999
24 1 100000
25 0 99999
26 1 100000
27 0 99999
28 1 100000
29 0 99999
30 1 100000
31 0 99999
32 1 100000
33 0 99999
34 1 100000
35 0 99999
36 1 100000
37 0 99999
38 1 100000
39 0 99999
40 1 100000
41 0 99999
42 1 100000
43 0 99999
44 1 100000
45 0 99999
46 1 100000
47 0 99999
48 1 100000
49 0 99999
30 481
115 0 322
118 152 262
17 0 326
111 154 481
45 0 229
94 0 360
101 223 481
72 265 481
55 0 129
54 125 467
10 0 371
87 0 439
59 60 481
13 84 211
38 320 481
102 59 233
51 316 481
23 271 481
2 0 284
64 0 451
31 0 481
74 0 465
36 50 481
37 0 435
76 0 312
50 0 407
57 0 402
109 228 481
33 112 425
61 166 481
30 19
25 9 19
19 0 12
73 3 19
5 0 8
21 1 19
36 3 19
72 3 19
40 9 19
12 6 19
53 0 15
65 8 19
44 1 15
71 0 16
64 0 16
49 5 17
22 0 17
37 2 19
4 0 12
52 6 19
56 0 13
45 2 19
3 0 12
51 2 6
31 0 18
6 3 19
48 7 19
50 6 19
38 6 19
62 9 19
42 2 19
14 819
76 547 819
98 0 348
9 232 819
46 195 819
80 0 278
43 358 819
11 0 803
28 0 760
99 0 687
81 66 819
30 223 819
71 260 819
36 0 508
20 102 819
33 136
124 62 115
25 35 136
96 38 136
21 56 136
55 0 119
115 46 136
57 0 113
112 0 42
90 0 127
46 0 127
108 0 132
60 0 87
125 0 89
100 31 136
122 78 136
2 99 136
28 71 136
35 3 55
78 0 110
19 0 108
74 39 136
83 0 124
18 0 84
84 18 136
42 0 133
9 0 118
139 0 132
137 0 106
89 13 112
61 0 114
104 0 131
68 0 100
11 0 43
26 129
37 0 89
29 0 101
5 22 129
10 56 129
31 28 83
23 20 129
19 72 129
38 0 107
9 23 89
6 0 101
40 33 129
17 3 129
15 55 129
33 0 100
35 43 129
21 33 129
13 0 117
25 4 88
26 4 98
3 8 129
28 0 108
8 0 129
11 36 117
32 41 83
44 30 129
39 0 61
2 4
0 0 3
1 1 4
50 96650
100000 69037 96650
25487 0 86237
39640 0 52868
29771 29890 96650
22707 8244 96650
30066 0 53533
55320 16053 96650
87888 0 88982
67877 0 87623
33157 52756 80956
61094 0 94840
94917 8695 86597
64098 13611 96650
35233 10140 96650
57021 0 84064
93234 29203 96650
75342 31997 96650
41840 0 86462
418 22082 96650
15681 41422 96650
29233 0 55240
42599 17018 96650
94142 29713 52961
80948 0 94101
50183 0 86687
18125 38871 96650
29812 31305 96595
95970 14654 96650
91047 0 93274
59496 35224 96650
52807 14419 72171
26683 6478 96650
2970 0 91157
50652 0 78889
11420 20710 96650
2463 0 73200
88708 0 76942
49448 1574 31434
22640 0 95838
48806 10854 96650
59667 32024 96650
69108 0 87094
26785 69041 95222
78582 0 43910
36803 0 87114
57888 0 86823
30038 28416 68768
65727 42994 96650
60454 0 58557
12124 11764 96650
33 492
71 0 209
8 82 492
7 0 386
49 90 492
57 292 492
48 261 492
29 0 359
40 0 428
6 34 439
10 0 458
9 267 492
21 130 492
27 154 363
47 87 489
42 0 459
32 119 480
39 237 492
43 106 306
23 170 374
22 110 492
14 187 440
17 0 441
4 0 316
65 0 222
30 20 170
34 62 320
12 143 492
38 34 138
15 45 492
24 0 330
51 23 492
28 0 166
68 0 318
33 993
2 0 298
66 293 820
80 0 609
69 0 877
52 258 993
51 309 993
58 319 993
59 724 993
49 0 541
40 0 398
61 0 838
22 0 820
6 0 959
46 584 993
0 0 816
73 0 393
14 551 993
16 87 842
79 400 993
65 111 993
53 0 806
29 87 346
82 51 993
8 55 647
36 106 993
44 200 993
26 323 964
4 0 547
11 0 945
86 245 993
23 263 993
76 16 993
62 0 543
9 771
10 0 522
6 0 766
17 276 771
34 79 771
11 0 627
21 43 215
2 0 397
26 292 771
13 30 771
50 861
115 0 742
110 0 708
7 32 861
35 0 783
136 73 861
100 0 397
64 0 749
57 226 861
53 549 861
77 349 861
45 0 467
98 0 502
38 0 615
30 0 765
53 0 475
15 0 656
59 0 825
124 0 558
104 0 612
23 405 861
52 86 861
120 0 662
114 0 850
0 0 577
12 0 669
93 0 668
21 345 861
72 69 861
5 0 756
9 0 764
78 183 861
88 0 486
17 653 861
81 3 861
44 19 861
33 0 729
13 0 856
47 0 806
122 0 861
61 0 412
19 74 861
70 0 623
24 99 347
101 257 579
1 0 493
62 0 841
133 271 861
3 190 861
16 361 861
27 319 861
17 335
97 70 335
104 0 157
18 88 301
37 65 217
91 132 270
88 137 335
30 0 330
17 16 335
8 0 276
55 11 335
83 0 270
102 0 229
58 0 316
75 0 183
7 0 198
92 0 263
36 0 313
21 420
15 108 304
35 0 254
8 0 408
24 0 369
6 102 342
34 42 420
14 106 420
37 0 408
7 59 160
1 108 420
13 0 274
48 327 420
46 45 367
27 103 193
31 54 420
33 0 360
2 229 420
12 0 288
30 0 327
36 11 340
5 22 420
16 819
76 0 357
15 141 819
45 0 556
61 275 819
18 214 819
49 0 507
68 0 412
23 0 679
49 554 819
81 45 285
35 0 482
34 230 442
82 39 819
42 328 819
10 438 819
59 141 771
41 775
62 0 218
14 114 775
9 0 502
4 0 642
10 64 775
6 382 775
56 280 775
59 0 574
78 0 516
38 412 775
41 0 623
33 0 629
54 1 602
62 375 775
50 0 671
43 18 502
16 0 422
51 0 666
48 0 396
47 209 775
44 0 633
40 0 440
13 0 608
20 0 654
72 401 775
73 497 775
18 0 240
58 0 615
26 0 381
3 0 318
55 0 288
45 81 378
80 0 362
19 128 775
23 0 707
2 0 259
64 222 775
24 0 698
68 398 775
42 280 775
61 0 739
40 699
49 0 316
15 304 699
66 255 699
32 446 699
58 0 683
17 351 699
72 15 699
22 0 447
43 409 699
14 0 502
1 87 549
6 268 699
60 0 583
39 0 510
4 383 699
45 0 398
34 166 699
40 2 276
3 286 699
23 0 580
68 27 687
6 59 254
69 0 621
38 0 621
64 0 478
27 21 699
30 189 699
42 184 699
0 0 636
47 198 699
48 281 699
37 0 536
41 0 479
61 514 699
20 62 590
51 255 699
65 0 662
53 0 640
19 0 313
62 0 691
25 560
5 0 389
7 231 560
13 0 433
29 157 429
14 0 559
36 0 362
9 0 373
1 164 560
11 161 407
20 0 392
35 0 430
33 0 502
8 67 317
6 84 560
23 0 302
19 274 445
18 28 560
30 128 560
0 0 357
24 225 560
3 0 488
10 15 560
12 39 560
28 0 552
26 142 560
43 177
95 0 83
10 0 155
62 80 177
6 0 105
118 50 105
3 63 177
50 0 100
9 0 112
115 0 52
13 0 116
76 43 177
79 0 80
94 44 150
37 5 177
114 0 140
74 68 177
87 0 110
77 0 113
35 0 136
52 21 177
92 29 177
12 15 177
28 44 177
42 57 95
20 0 100
111 52 177
121 29 177
53 65 143
58 0 69
91 45 177
54 5 177
120 41 177
69 60 177
73 0 133
106 0 74
103 8 177
22 73 167
96 66 177
89 33 177
0 102 177
105 4 177
65 0 174
112 0 158
14 887
32 0 831
4 164 887
6 334 887
29 0 858
17 0 867
75 479 887
54 79 632
101 199 887
7 161 737
105 496 748
52 203 887
107 392 887
41 0 848
64 378 887
41 963
12 676 963
15 112 610
69 354 963
3 159 963
1 88 418
4 0 833
24 380 728
63 480 744
38 272 963
61 271 870
24 36 347
55 118 963
47 330 963
71 0 739
18 32 737
14 0 839
48 0 963
9 0 518
57 354 886
11 0 963
35 0 833
20 79 963
45 645 922
41 201 963
29 157 963
60 0 518
59 180 963
32 280 963
31 0 810
64 34 963
36 101 956
5 0 472
68 0 459
37 89 963
51 0 920
40 0 658
65 0 617
8 138 886
23 0 877
19 0 855
58 97 963
4 707
27 2 245
60 49 707
34 66 621
68 83 707
50 100000
100000 25697 100000
96114 0 75919
55020 45840 100000
12712 30014 100000
8973 0 62582
36320 6906 56362
66239 36919 100000
98030 50788 100000
36614 0 56722
6471 46773 91136
97823 59309 100000
38506 0 72487
69706 0 97253
75371 46851 99114
71451 21863 100000
41964 21457 100000
82415 0 99442
83585 0 73981
55014 0 100000
8483 54911 82330
62819 18776 38932
92868 28387 100000
41311 0 65188
83336 15898 56458
2864 0 55258
75766 0 77956
40160 1301 100000
46238 16980 100000
75249 51257 100000
7754 22034 55502
19835 0 91045
6406 0 93733
94401 37861 100000
10218 0 50747
25496 0 59498
49929 52410 82083
88840 419 26105
47287 0 97402
34402 48022 81453
95982 0 38149
94061 4309 74476
91984 23971 70310
21500 0 80809
59436 0 57030
53720 0 40937
63724 23903 100000
44995 0 76747
16687 0 65194
59953 0 83332
16243 8047 60955
50 99629
100000 33578 99629
93968 58008 99629
7777 61870 99629
63063 0 97400
49423 0 88597
62415 0 75824
10072 0 56236
62713 0 24174
85176 0 67480
6616 18900 99629
76738 0 51095
57889 26965 99629
38741 20514 99629
70183 81 55049
10602 15490 83959
57447 5268 34357
54944 44803 99629
4636 8185 60844
64296 13420 99629
44812 0 94407
77498 10027 99629
67244 21994 79214
1358 0 37130
27065 0 58248
9235 0 97386
34017 30123 99629
56623 16271 93391
37431 29027 99629
80162 0 63839
24606 0 65291
82671 12616 99629
97632 10606 99629
44487 7651 85687
16618 0 53003
93589 50440 99629
9665 63272 99629
59069 0 90143
54268 0 48718
55186 16785 99629
42975 11523 99629
29368 65377 99629
9458 37811 99629
80076 28844 63130
40271 0 55631
56686 45484 86363
43977 0 65067
4344 35718 89107
28882 0 51635
15018 4056 99629
30523 0 58753
46 903
71 239 903
8 0 871
67 0 551
45 0 524
57 0 434
77 0 628
87 0 326
54 0 797
30 448 903
72 423 903
37 29 903
76 562 854
70 108 903
55 0 362
79 0 744
74 0 582
61 248 903
29 0 774
86 489 903
0 0 674
22 102 903
101 0 260
56 90 354
56 613 903
27 0 717
46 57 903
19 0 622
13 26 317
14 20 903
26 4 903
2 0 686
50 0 657
89 106 890
80 159 903
97 0 862
85 460 903
28 63 903
53 118 903
65 0 757
6 414 903
25 161 903
96 0 418
1 0 863
35 0 431
49 0 809
31 0 829
4 14
34 5 13
17 0 8
41 4 9
8 6 14
28 707
22 208 707
38 104 707
20 186 443
31 284 707
4 132 707
1 60 707
42 91 707
49 112 681
37 178 655
36 309 707
16 0 483
15 245 707
51 0 688
44 0 235
14 283 707
0 335 707
21 0 591
17 219 707
46 18 161
47 139 400
10 287 707
23 0 237
33 63 707
26 285 707
3 0 503
12 18 707
13 0 412
50 0 193
27 261
92 0 162
53 0 253
19 91 210
34 0 126
31 97 149
14 96 261
0 0 145
87 47 261
93 0 203
7 46 261
48 174 258
32 36 151
113 0 242
101 0 139
11 0 188
49 0 169
33 59 261
15 132 261
69 0 235
109 0 191
121 58 261
10 60 261
78 0 190
23 184 261
108 84 261
75 62 261
8 48 261
3 9
33 0 6
66 0 9
99 3 9
36 471
63 51 239
39 129 471
112 61 415
5 0 299
93 0 363
54 19 471
24 121 471
26 0 470
85 0 355
47 77 369
106 28 471
67 246 471
78 0 305
66 0 447
58 0 339
36 67 471
31 162 471
100 26 471
107 0 343
27 0 342
38 365 468
50 0 216
83 183 471
108 0 165
7 0 439
18 0 353
43 263 471
12 65 471
48 216 471
21 186 307
71 79 312
14 154 471
29 212 321
17 120 439
87 0 313
108 282 471
27 843
38 149 843
19 0 817
24 0 641
26 188 843
22 0 711
40 0 743
12 0 212
11 56 843
5 0 633
39 0 788
41 0 843
13 361 675
33 53 843
47 365 843
28 274 843
44 195 843
35 89 843
8 54 843
18 265 843
20 0 562
27 0 347
17 194 432
32 302 843
9 90 843
14 53 843
3 27 843
43 0 836
1 413
44 138 413
39 426
35 207 351
21 0 257
23 0 379
16 0 359
17 90 426
54 231 364
11 132 426
49 168 426
34 0 376
13 0 175
47 55 426
25 335 426
53 103 342
29 37 312
7 164 426
12 74 426
45 15 426
3 0 243
41 0 385
48 194 426
39 0 386
22 96 426
37 95 297
8 30 426
43 116 426
20 0 362
44 85 426
50 0 410
10 238 426
28 0 425
38 202 426
40 0 342
0 0 313
52 121 426
36 80 426
4 121 426
24 6 426
51 263 426
19 130 426
50 99202
100000 0 96169
53116 50488 74909
23357 18780 99202
93787 9103 99202
77257 34264 95152
53650 55301 99202
2000 0 68636
6898 73147 99131
12900 0 33902
12858 32036 99202
65546 45191 99202
77980 0 95882
41097 0 73031
48945 0 71642
66955 51038 99202
50071 16696 99202
10494 61371 99202
67434 27037 99202
38739 0 90799
19152 16484 99202
27051 0 79043
10760 24800 99202
79707 0 58702
98486 0 60459
82801 0 84683
4012 25667 99202
19910 15157 99202
30982 0 39906
38436 29222 99202
31404 67062 97488
60985 6555 34890
35033 5793 99202
22290 0 84025
60104 36758 57780
69717 0 88052
81327 17662 42294
10245 0 56466
36295 0 76587
53402 13361 39744
8640 12064 92188
72535 17499 99202
72847 38181 90175
10876 31436 85085
93953 0 48837
89083 5610 37974
41329 11393 99202
6862 0 80494
28833 0 80754
40353 4486 93115
87949 6530 99202
28 349
12 132 349
7 193 349
1 0 323
36 0 344
15 0 196
39 9 349
7 0 181
4 200 349
20 0 311
35 0 174
19 0 233
27 47 349
42 7 349
2 107 349
34 30 349
9 101 349
17 0 348
3 66 349
26 69 349
18 0 296
